Period,Ngày nhập kho,Mã HS,Prod code,Sale code,ACTUAL QTY,Ghi chú
2026-04,2026-04-23 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,998,
2026-04,2026-04-23 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,4000,
2026-04,2026-04-23 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,2000,
2026-04,2026-04-23 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,1960,
2026-04,2026-04-23 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-23 00:00:00,EAD63647078,EAD63647078-I,EAD63647078-I,240,
2026-04,2026-04-23 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1000,
2026-04,2026-04-23 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,996,
2026-04,2026-04-24 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
2026-04,2026-04-24 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1054,
2026-04,2026-04-24 00:00:00,EAD61749501V1,EAD61749501-T1,EAD61749501-T,1296,
2026-04,2026-04-24 00:00:00,EAD63954790,EAD63954790-I,EAD63954790-I,750,
2026-04,2026-04-24 00:00:00,EAD65606209,EAD65606209-I,EAD65606209-I,497,
2026-04,2026-04-24 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,4000,
2026-04,2026-04-24 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,800,
2026-04,2026-04-24 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1000,
2026-04,2026-04-24 00:00:00,EAD61749501,EAD61749501-T,EAD61749501-T,4,
2026-04,2026-04-27 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-27 00:00:00,EAD63954790,EAD63954790-I,EAD63954790-I,246,
2026-04,2026-04-27 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-27 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,300,
2026-04,2026-04-27 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,1600,
2026-04,2026-04-27 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,3000,
2026-04,2026-04-27 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,1000,
2026-04,2026-04-27 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,999,
2026-04,2026-04-27 00:00:00,EAD64169023,EAD64169023-I,EAD64169023-I,988,
2026-04,2026-04-27 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,2000,
2026-04,2026-04-27 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,6000,
2026-04,2026-04-27 00:00:00,EAD62061319,EAD62061319-T,EAD62061319-T,2001,
2026-04,2026-04-27 00:00:00,EAD63911418,EAD63911418-I,EAD63911418-I,1000,
2026-04,2026-04-27 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,1021,
2026-04,2026-04-27 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,500,
2026-04,2026-04-27 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,530,
2026-04,2026-04-28 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,1000,
2026-04,2026-04-28 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-28 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-28 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,2000,
2026-04,2026-04-28 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1200,
2026-04,2026-04-28 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,1000,
2026-04,2026-04-28 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,500,
