Period,Ngày nhập kho,SUB code,Item code,Type,QTY ACTUAL,QTY RETURN,Ghi chú
2026-04,2026-04-03 00:00:00,,TPAX00299NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,HOUX01238NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,BAGD00004NA,MAT,20,,
2026-04,2026-04-03 00:00:00,,TPAX00004NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,HOUX00663NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,TPAX00336NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,BAGA00005NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01548NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00288NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,CATX00072NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,SELA00036NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01842NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00141NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00398NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX02060NA,MAT,3000,,
2026-04,2026-04-03 00:00:00,,TPAX00373NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00140NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00139NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00316NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00010NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00009NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00146NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00444NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX02121NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00445NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00443NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00666NA,MAT,4000,,
2026-04,2026-04-03 00:00:00,,HOUX00665NA,MAT,8000,,
2026-04,2026-04-03 00:00:00,,HOUX00667NA,MAT,8000,,
2026-04,2026-04-03 00:00:00,,HOUX00082NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00133NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX00978NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01538NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01553NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00047NA,MAT,6000,,
2026-04,2026-04-03 00:00:00,,TPAX00001NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00284NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,TPAX00291NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX00234NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX01562NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,HOUX01563NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,TPAX00376NA,MAT,2000,,
2026-04,2026-04-03 00:00:00,,HOUX02742NA,MAT,1000,,
2026-04,2026-04-03 00:00:00,,CORX00081NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,BAGC00005NA,MAT,500,,
2026-04,2026-04-04 00:00:00,,BNDC00002NA,MAT,500,,
2026-04,2026-04-04 00:00:00,,HOUX00015NA,MAT,4500,,
2026-04,2026-04-04 00:00:00,,HOUX00052NA,MAT,4500,,
2026-04,2026-04-04 00:00:00,,HOUX00065NA,MAT,5000,,
2026-04,2026-04-04 00:00:00,,HOUX00211NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,HOUX00212NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,HOUX00627NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX00642NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,HOUX00659NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX00850NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01114NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX01124NA,MAT,2500,,
