Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,Mã NVL,Tên hàng,ĐVT,Type,QTY INPUT,Ngày giao hàng,QTY RETURN,Remark
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01195NA,"HOUX01195NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.82x1.92x1.38 cm, SL-15TF RD, hàng mới 100%, loại HOUX01195NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01204NA,"HOUX01204NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.7x2.0x0.9 cm, SL-20T, hàng mới 100%, loại HOUX01204NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01206NA,"HOUX01206NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.5x2.0x1.0 cm, SL-33, hàng mới 100%, loại HOUX01206NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01210NA,"HOUX01210NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.6x1.4x0.6 cm, SL-46T, hàng mới 100%, loại HOUX01210NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01211NA,"HOUX01211NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.9x1.4x0.9 cm, SL-48M, hàng mới 100%, loại HOUX01211NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01213NA,"HOUX01213NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.9x1.4x0.9 cm, SL-49P, hàng mới 100%, loại HOUX01213NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01215NA,"HOUX01215NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.66*2.06*0.77 cm, SL-58T, hàng mới 100%, loại HOUX01215NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01216NA,"HOUX01216NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.66x2.06x0.75 cm, SL-58T BL, hàng mới 100%, loại HOUX01216NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01217NA,"HOUX01217NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.66x2.06x0.75 cm, SL-58T RD, hàng mới 100%, loại HOUX01217NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01234NA,"HOUX01234NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.16x1.06x0.8 cm, SMH200-05H, hàng mới 100%, loại HOUX01234NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01239NA,"HOUX01239NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.36x1.26x1.0 cm, SMH200-06H, hàng mới 100%, loại HOUX01239NA",PCE,MAT,4000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01241NA,"HOUX01241NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.56x1.46x1.2 cm, SMH200-07H, hàng mới 100%, loại HOUX01241NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01364NA,"HOUX01364NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.2x1.53x1.2 cm, SMH600-04D, hàng mới 100%, loại HOUX01364NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01566NA,"HOUX01566NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.1x1.4x1.5 cm, YH500-06C(BL), hàng mới 100%, loại HOUX01566NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,SELA00035NA,"SELA00035NA#&Miếng đệm bằng nhựa dẻo dùng để cố định dây điện và đầu nối, SL-15S3(GY), hàng mới 100%, loại SELA00035NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,SELA00037NA,"SELA00037NA#&Miếng đệm bằng nhựa dẻo dùng để cố định dây điện và đầu nối, SL-47S2, hàng mới 100%, loại SELA00037NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,SLVB00006NA,"SLVB00006NA#&Miếng nhựa bảo vệ đầu nối Terminal, kt: 0.5x1.5x1.7cm, SDFFN25-4.0, hàng mới 100%, loại SLVB00006NA",PCE,MAT,4000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TAPB00003NA,"TAPB00003NA#&Băng dính bằng vải acetate để quấn dây điện, rộng: 19mm, ACETATE W19, hàng mới 100%, loại TAPB00003NA",MTR,MAT,4020,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TAPA00013NA,"TAPA00013NA#&Băng dính điện PVC kích thước 0.10mmx19mmx20m, PVC Tape 19*20, hàng mới 100%, loại TAPA00013NA",MTR,MAT,8460,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00051NA,"TPAX00051NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), 35150-0390, hàng mới 100%, loại TPAX00051NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00107NA,"TPAX00107NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), 635043-1, hàng mới 100%, loại TPAX00107NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00197NA,"TPAX00197NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), PWBS-02V, hàng mới 100%, loại TPAX00197NA",PCE,MAT,6000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00198NA,"TPAX00198NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), PWBS-03V, hàng mới 100%, loại TPAX00198NA",PCE,MAT,11000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00200NA,"TPAX00200NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), PWBS-05V, hàng mới 100%, loại TPAX00200NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00202NA,"TPAX00202NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), PWCS-03V, hàng mới 100%, loại TPAX00202NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00206NA,"TPAX00206NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), SL-15TPA RD, hàng mới 100%, loại TPAX00206NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00209NA,"TPAX00209NA#&Chốt khóa bằng nhựa(Cố định dây điện và đầu nối), SL-58TPA, hàng mới 100%, loại TPAX00209NA",PCE,MAT,4000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00214NA,"TPAX00214NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), SMH200-05HRT(RE), hàng mới 100%, loại TPAX00214NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00215NA,"TPAX00215NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), SMH200-06HRT(RE), hàng mới 100%, loại TPAX00215NA",PCE,MAT,4000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00216NA,"TPAX00216NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), SMH200-07HRT(RE), hàng mới 100%, loại TPAX00216NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00219NA,"TPAX00219NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), SMH200-10HRT(RE), hàng mới 100%, loại TPAX00219NA",PCE,MAT,3000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00229NA,"TPAX00229NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), SMH250J-03RT(RE), hàng mới 100%, loại TPAX00229NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00244NA,"TPAX00244NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), SMH600-02DRT(RE), hàng mới 100%, loại TPAX00244NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00299NA,"TPAX00299NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), YH500-03CRT(RE), hàng mới 100%, loại TPAX00299NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01440NA,"HOUX01440NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, KT: 1.1x0.9x1.5cm, VHR-1N-WGL1-1, hàng mới 100%, loại HOUX01440NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01238NA,"HOUX01238NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.4x0.8x0.5 cm , SMH200-06, hàng mới 100%, loại HOUX01238NA",PCE,MAT,4000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,BAGD00004NA,"BAGD00004NA#&Túi nhựa PP, dùng để đóng hàng, KT : 17X24cm, hàng mới 100%, loại BAGD00004NA",PCE,MAT,20,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00336NA,"TPAX00336NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), 2369510-1, hàng mới 100%, loại TPAX00336NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00345NA,"TPAX00345NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), 2369511-1, hàng mới 100%, loại TPAX00345NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01969NA,"HOUX01969NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 25x14x15 mm, 2369509-1, hàng mới 100%, loại HOUX01969NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,BAGA00033NA,"BAGA00033NA#&Túi ni lông nhựa PE để đựng sản phẩm kích thước (dày 0.1mm, 100mmx140mm), 508 chiếc=1kg, PE BAG 100*140*1T WH (FLAME RETARDANT), hàng mới 100%, loại BAGA00033NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX00202NA,"HOUX00202NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 31.6x22.7x9.35 mm, 171370-5, hàng mới 100%, loại HOUX00202NA",PCE,MAT,2000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,CATX00072NA,"CATX00072NA#&Dây thít bằng nhựa, CT 100 *2.5 mm, hàng mới 100%, loại CATX00072NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX00458NA,"HOUX00458NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.9x1.5x1.0 cm, 35150-0300, hàng mới 100%, loại HOUX00458NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01842NA,"HOUX01842NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 23x11.2x10 mm, 2369507-1, hàng mới 100%, loại HOUX01842NA",PCE,MAT,1000,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00111NA,"TPAX00111NA#&Chốt khóa bằng nhựa(Cố định dây điện và đầu nối), 635252-2, hàng mới 100%, loại TPAX00111NA",PCE,MAT,1500,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TAPA00081NA,"TAPA00081NA#&Băng dính điện PVC kích thước 0.1mmx19mmx20m, PVC W19*20 RD, hàng mới 100%, loại TAPA00081NA",MTR,MAT,620,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX00027NA,"HOUX00027NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 26*20*15 mm, 615249, hàng mới 100%, loại HOUX00027NA",PCE,MAT,500,,,
2026-04,108109879030,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX00070NA,"HOUX00070NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 27x10.8x11.3mm, hàng mới 100%, loại HOUX00070NA",PCE,MAT,500,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00383NA,"TPAX00383NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), PNDS-34V-K, hàng mới 100%, loại TPAX00383NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX02060NA,"HOUX02060NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 27x10.8x11.3mm, SMH200-H10H3, hàng mới 100%, loại HOUX02060NA",PCE,MAT,3000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01125NA,"HOUX01125NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.92x0.73x0.92 cm, PWBP-04V-WGL1-E, hàng mới 100%, loại HOUX01125NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01126NA,"HOUX01126NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.92x1.15x1.25 cm, PWBP-04V-WGL1-Y, hàng mới 100%, loại HOUX01126NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00381NA,"TPAX00381NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), XMS-05V / PWASX-05V-K, hàng mới 100%, loại TPAX00381NA",PCE,MAT,2000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX00133NA,"HOUX00133NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 4.37* 0.96*1.32cm, 1-174712-1, hàng mới 100%, loại HOUX00133NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01562NA,"HOUX01562NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 0.78x0.76x0.58 cm, YH396-H05PL, hàng mới 100%, loại HOUX01562NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX01563NA,"HOUX01563NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), YH396-H05PR(RE), hàng mới 100%, loại HOUX01563NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX02758NA,"HOUX02758NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 28.8* 1.78*1.62cm, 85002HS-04, hàng mới 100%, loại HOUX02758NA",PCE,MAT,2000,,,
