Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,HS code,Prod code,Sale code,ĐVT,QTY SALE,Ngày giao hàng,QTY RETURN,Remark
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD63845502,EAD63845502-T,EAD63845502-T,SET/ Bộ,22,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD62428629V1,EAD62428629-T,EAD62428629-T,SET/ Bộ,2000,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD63911358,EAD63911358-I,EAD63911358-I,SET/ Bộ,130,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD62090005,EAD62090005-T,EAD62090005-T,SET/ Bộ,1000,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,990,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD66006019,EAD66006019-I,EAD66006019-I,SET/ Bộ,1500,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,500,,,
2026-04,308432699650,2026-04-14 00:00:00,E52,186,EAD66091501V3,EAD66091501-I,EAD66091501-I,SET/ Bộ,500,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,EAD65895024,EAD65895024-I,EAD65895024-I,SET/ Bộ,500,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,500,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1000,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,4000,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,EAD63911348,EAD63911348-I,EAD63911348-I,SET/ Bộ,500,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,7200007556V1,7200007556-I1,7200007556-I,SET/ Bộ,288,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,EAD65616820,EAD65616820-I,EAD65616820-I,SET/ Bộ,17,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,EAD62090005,EAD62090005-T,EAD62090005-T,SET/ Bộ,1000,,,
2026-04,308437240330,2026-04-15 00:00:00,E52,188,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1100,,,
2026-04,308441421430,2026-04-16 00:00:00,E52,189,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,500,,,
2026-04,308441421430,2026-04-16 00:00:00,E52,189,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1026,,,
2026-04,308441421430,2026-04-16 00:00:00,E52,189,EAD63954790,EAD63954790-I,EAD63954790-I,SET/ Bộ,300,,,
2026-04,308441421430,2026-04-16 00:00:00,E52,189,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,2000,,,
2026-04,308441421430,2026-04-16 00:00:00,E52,189,EAD64169023,EAD64169023-I,EAD64169023-I,SET/ Bộ,140,,,
2026-04,308441421430,2026-04-16 00:00:00,E52,189,EAD66006019,EAD66006019-I,EAD66006019-I,SET/ Bộ,491,,,
2026-04,308441421430,2026-04-16 00:00:00,E52,189,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD65895024,EAD65895024-I,EAD65895024-I,SET/ Bộ,1000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,2000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD64149412,EAD64149412-T,EAD64149412-T,SET/ Bộ,2000,,,
