No.,Type code,Item code,Spec,Unit,Đơn giá TK
173,NVL,HOUX00048NA,",,HOUSING,621174",EA,776
174,NVL,HOUX00052NA,",,HOUSING ,621934",EA,621
175,NVL,HOUX00057NA,",,HOUSING ,624159",EA,863
176,NVL,HOUX00065NA,",,HOUSING ,624537",EA,557
177,NVL,HOUX00070NA,",,HOUSING,625251",EA,1811
178,NVL,HOUX00082NA,",,HOUSING,631130",EA,453
179,NVL,HOUX00133NA,",,HOUSING,1-174712-1",EA,626
180,NVL,HOUX00139NA,",,HOUSING ,1201-12124",EA,767
181,NVL,HOUX00140NA,",,HOUSING ,1201-12126",EA,790
182,NVL,HOUX00182NA,",,HOUSING,1301-12105",EA,1005
183,NVL,HOUX00202NA,",,HOUSING ,171370-5",EA,971
184,NVL,HOUX00211NA,",,HOUSING ,1743165-1",EA,1194
185,NVL,HOUX00212NA,",,HOUSING ,1743165-2",EA,1194
186,NVL,HOUX00213NA,",,HOUSING ,1743165-5",EA,1194
187,NVL,HOUX00224NA,",,HOUSING ,1746063-1",EA,1297
188,NVL,HOUX00234NA,",,HOUSING,176282-1",EA,1285
189,NVL,HOUX00240NA,",,HOUSING,177900-1",EA,582
190,NVL,HOUX00243NA,",,HOUSING,177901-1",EA,658
191,NVL,HOUX00258NA,",,HOUSING,179463-1",EA,758
192,NVL,HOUX00261NA,",,HOUSING,179465-1",EA,1003
193,NVL,HOUX00303NA,",,HOUSING,2005542-1",EA,1804
194,NVL,HOUX00315NA,",,HOUSING,2108504-1",EA,3151
195,NVL,HOUX00316NA,",,HOUSING ,2108505-1",EA,3151
196,NVL,HOUX00341NA,",,HOUSING ,25045HP-04B",EA,793
197,NVL,HOUX00369NA,",,HOUSING ,25048HS-03",EA,221
198,NVL,HOUX00374NA,",,HOUSING,25048HS-04",EA,250
199,NVL,HOUX00383NA,",,HOUSING,25048HS-07",EA,426
200,NVL,HOUX00385NA,",,HOUSING,25048HS-08",EA,537
201,NVL,HOUX00396NA,",,HOUSING,316086-1",EA,381
202,NVL,HOUX00398NA,",,HOUSING,316088-1",EA,644
203,NVL,HOUX00399NA,",,HOUSING ,316089-1",EA,1098
204,NVL,HOUX00400NA,",,HOUSING,316090-1",EA,1035
205,NVL,HOUX00422NA,",,HOUSING,35022-0006",EA,370
206,NVL,HOUX00443NA,",,HOUSING,35127-1000",EA,322
207,NVL,HOUX00444NA,",,HOUSING,35128-0200",EA,345
208,NVL,HOUX00445NA,",,HOUSING,35128-1000",EA,1267
209,NVL,HOUX00448NA,",,HOUSING,35150-0109",EA,829
210,NVL,HOUX00453NA,",,HOUSING ,35150-0209",EA,709
211,NVL,HOUX00457NA,",,HOUSING ,35150-0219",EA,865
212,NVL,HOUX00458NA,",,HOUSING ,35150-0300",EA,1077
213,NVL,HOUX00476NA,",,HOUSING,35150-0619",EA,2124
214,NVL,HOUX00487NA,",,HOUSING,35151-0119",EA,794
215,NVL,HOUX00492NA,",,HOUSING ,35151-0310",EA,772
216,NVL,HOUX00494NA,",,HOUSING ,35151-0319",EA,1530
217,NVL,HOUX00526NA,",,HOUSING ,35184-0200",EA,464
218,NVL,HOUX00611NA,",,HOUSING ,5557-06R(039012060)",EA,1368
219,NVL,HOUX00627NA,",,HOUSING ,610224T",EA,589
220,NVL,HOUX00642NA,",,HOUSING ,611166T",EA,651
221,NVL,HOUX00659NA,",,HOUSING ,615042-2",EA,902
222,NVL,HOUX00661NA,",,HOUSING,615307T",EA,765
223,NVL,HOUX00663NA,",,HOUSING ,615310T",EA,945
224,NVL,HOUX00665NA,",,HOUSING,615570-2",EA,1169
225,NVL,HOUX00666NA,",,HOUSING,615571-1",EA,1781
226,NVL,HOUX00667NA,",,HOUSING,615572-5",EA,1510
227,NVL,HOUX00733NA,",,HOUSING ,622537T",EA,2035
228,NVL,HOUX00739NA,",,HOUSING,624159-2",EA,820
229,NVL,HOUX00743NA,",,HOUSING ,625040-2",EA,1188
230,NVL,HOUX00745NA,",,HOUSING,625306T",EA,496
231,NVL,HOUX00746NA,",,HOUSING,625308T",EA,993
232,NVL,HOUX00750NA,",,HOUSING,625458-2",EA,1035
233,NVL,HOUX00751NA,",,HOUSING,625461-1",EA,2432
234,NVL,HOUX00753NA,",,HOUSING,625483-120",EA,4250
235,NVL,HOUX00820NA,",,HOUSING,65001HS-12",EA,1576
236,NVL,HOUX00827NA,",,HOUSING ,68416-0304",EA,1840
237,NVL,HOUX00847NA,",,HOUSING,917686-1",EA,349
238,NVL,HOUX00848NA,",,HOUSING,917687-1",EA,320
239,NVL,HOUX00850NA,",,HOUSING ,917689-1",EA,627
240,NVL,HOUX00851NA,",,HOUSING ,917689-2",EA,624
241,NVL,HOUX00852NA,",,HOUSING ,917690-1",EA,605
242,NVL,HOUX00853NA,",,HOUSING ,917691-1",EA,902
243,NVL,HOUX00855NA,",,HOUSING ,917692-1",EA,644
244,NVL,HOUX00858NA,",,HOUSING ,917694-1",EA,697
245,NVL,HOUX00861NA,",,HOUSING ,917696-1",EA,1028
246,NVL,HOUX00890NA,",,HOUSING ,CHD1140-05",EA,635
247,NVL,HOUX00978NA,",,HOUSING,EH688.500-007-B35-960-A",EA,4591
248,NVL,HOUX01081NA,",,HOUSING ,PNDP-22V-Z",EA,1345
249,NVL,HOUX01083NA,",,HOUSING,PNDP-24V-Z",EA,1377
250,NVL,HOUX01084NA,",,HOUSING ,PNDP-26V-Z",EA,1589
251,NVL,HOUX01085NA,",,HOUSING,PNDP-34V-R",EA,2169
252,NVL,HOUX01086NA,",,HOUSING ,PNDP-34V-Z",EA,2169
253,NVL,HOUX01106NA,",,HOUSING ,PWAP-05V-WGL1",EA,582
254,NVL,HOUX01110NA,",,HOUSING ,PWAP-08V-WGL1",EA,759
255,NVL,HOUX01114NA,",,HOUSING ,PWAP-11V-WGL1",EA,828
256,NVL,HOUX01120NA,",,HOUSING ,PWBP-03V-WGL1",EA,434
257,NVL,HOUX01122NA,",,HOUSING ,PWBP-03V-WGL1-R",EA,450
258,NVL,HOUX01123NA,",,HOUSING ,PWBP-03V-WGL1-Y",EA,450
259,NVL,HOUX01124NA,",,HOUSING ,PWBP-04V-WGL1",EA,628
260,NVL,HOUX01125NA,",,HOUSING ,PWBP-04V-WGL1-E",EA,475
261,NVL,HOUX01126NA,",,HOUSING ,PWBP-04V-WGL1-Y",EA,525
262,NVL,HOUX01127NA,",,HOUSING ,PWBP-06V-3WGL1-H",EA,528
263,NVL,HOUX01128NA,",,HOUSING ,PWBP-06V-WGL1",EA,542
264,NVL,HOUX01130NA,",,HOUSING ,PWBP-06V-WGL1-R",EA,522
265,NVL,HOUX01131NA,",,HOUSING ,PWBP-08V-WGL1",EA,1085
266,NVL,HOUX01132NA,",,HOUSING ,PWBP-10V-WGL1",EA,1153
267,NVL,HOUX01136NA,",,HOUSING ,PWBR-03VF-WGL1",EA,1073
268,NVL,HOUX01137NA,",,HOUSING ,PWBR-03VF-WGL1-E",EA,821
269,NVL,HOUX01139NA,",,HOUSING ,PWBR-04VF-WGL1",EA,1347
270,NVL,HOUX01145NA,",,HOUSING ,PWBR-10VF-WGL1",EA,922
271,NVL,HOUX01146NA,",,HOUSING ,PWBR-10V-WGL1",EA,1005
272,NVL,HOUX01148NA,",,HOUSING ,PWBR-12V-WGL1",EA,1206
273,NVL,HOUX01149NA,",,HOUSING ,PWCP-03V-3WGL1-H",EA,554
274,NVL,HOUX01152NA,",,HOUSING ,PWCP-03V-WGL1-R",EA,542
275,NVL,HOUX01156NA,",,HOUSING ,PWCP-04V-WGL1-R",EA,723
276,NVL,HOUX01160NA,",,HOUSING ,PWEP-03V-WGL1-S",EA,1378
277,NVL,HOUX01191NA,",,HOUSING ,SL-12T",EA,281
278,NVL,HOUX01194NA,",,HOUSING ,SL-15TF",EA,1557
279,NVL,HOUX01195NA,",,HOUSING ,SL-15TF RD",EA,1409
280,NVL,HOUX01204NA,",,HOUSING ,SL-20T",EA,1838
281,NVL,HOUX01206NA,",,HOUSING ,SL-33",EA,975
282,NVL,HOUX01210NA,",,HOUSING ,SL-46T",EA,1172
